Date,Number of Bicycle Hires
03/02/2014,20370
04/02/2014,21217
05/02/2014,29418
06/02/2014,25395
07/02/2014,19857
08/02/2014,10928
09/02/2014,11657
10/02/2014,19278
11/02/2014,18514
12/02/2014,18000
13/02/2014,20954
14/02/2014,12794
15/02/2014,11208
16/02/2014,18484
17/02/2014,19013
18/02/2014,19484
19/02/2014,21556
20/02/2014,19396
21/02/2014,21269
22/02/2014,20033
23/02/2014,13680
24/02/2014,21469
25/02/2014,20713
26/02/2014,23938
27/02/2014,20629
28/02/2014,13781
01/03/2014,18823
02/03/2014,11727
03/03/2014,18150
04/03/2014,23069
05/03/2014,25102
06/03/2014,24696
07/03/2014,24385
08/03/2014,25556
09/03/2014,33955
10/03/2014,24347
11/03/2014,23871
12/03/2014,27173
13/03/2014,27552
14/03/2014,28134
15/03/2014,29664
16/03/2014,34421
17/03/2014,26465
18/03/2014,25502
19/03/2014,26719
20/03/2014,23718
21/03/2014,23821
22/03/2014,19091
23/03/2014,17463
24/03/2014,24055
25/03/2014,19421
26/03/2014,20493
27/03/2014,23462
28/03/2014,24198
29/03/2014,29511
30/03/2014,26605
31/03/2014,26715
01/04/2014,29782
02/04/2014,28876
03/04/2014,28245
04/04/2014,27401
05/04/2014,25648
06/04/2014,16387
07/04/2014,18883
08/04/2014,26654
09/04/2014,29621
10/04/2014,29229
11/04/2014,28435
12/04/2014,25706
13/04/2014,31404
14/04/2014,28742
15/04/2014,30031
16/04/2014,30934
17/04/2014,27676
18/04/2014,22152
19/04/2014,21424
20/04/2014,7188
21/04/2014,20532
22/04/2014,22689
23/04/2014,27102
24/04/2014,29119
25/04/2014,20400
26/04/2014,25195
27/04/2014,21284
28/04/2014,29474
29/04/2014,46333
30/04/2014,49025
01/05/2014,16644
02/05/2014,26510
03/05/2014,31534
04/05/2014,33030
05/05/2014,33748
06/05/2014,32323
07/05/2014,28802
08/05/2014,19398
09/05/2014,30131
10/05/2014,19373
11/05/2014,17645
12/05/2014,26149
13/05/2014,25351
14/05/2014,34122
15/05/2014,35148
16/05/2014,36268
17/05/2014,38147
18/05/2014,43663
19/05/2014,37088
